t=0.00 | PRED=5 | p=0.85
t=0.10 | PRED=5 | p=0.84
t=0.20 | PRED=0 | p=0.92
t=0.30 | PRED=5 | p=0.86
t=0.40 | PRED=0 | p=0.90
t=0.50 | PRED=5 | p=0.86
t=0.60 | PRED=5 | p=0.87
t=0.70 | PRED=0 | p=0.97
t=0.80 | PRED=5 | p=0.72
t=0.90 | PRED=5 | p=0.76
t=1.00 | PRED=5 | p=0.71
t=1.10 | PRED=5 | p=0.78
t=1.20 | PRED=5 | p=0.94
t=1.30 | PRED=5 | p=0.66
t=1.40 | PRED=0 | p=0.89
t=1.50 | PRED=0 | p=0.97
t=1.60 | PRED=0 | p=0.92
t=1.70 | PRED=5 | p=0.93
t=1.80 | PRED=5 | p=0.84
t=1.90 | PRED=5 | p=0.89
t=2.00 | PRED=5 | p=0.86
t=2.10 | PRED=1 | p=0.89
t=2.20 | PRED=0 | p=0.93
t=2.30 | PRED=0 | p=0.90
t=2.40 | PRED=5 | p=0.75
t=2.50 | PRED=0 | p=0.98
t=2.60 | PRED=5 | p=0.82
t=2.70 | PRED=5 | p=0.68
t=2.80 | PRED=0 | p=0.88
t=2.90 | PRED=2 | p=0.94
t=3.00 | PRED=5 | p=0.92
t=3.10 | PRED=5 | p=0.81
t=3.20 | PRED=0 | p=0.98
t=3.30 | PRED=5 | p=0.89
t=3.40 | PRED=5 | p=0.92
t=3.50 | PRED=0 | p=0.92
t=3.60 | PRED=5 | p=0.94
t=3.70 | PRED=5 | p=0.67
t=3.80 | PRED=5 | p=0.91
t=3.90 | PRED=5 | p=0.81
t=4.00 | PRED=4 | p=0.84
t=4.10 | PRED=5 | p=0.70
